Sample	bowtie_2_hisat2-overall_alignment_rate
22_WNV_A_S1	44.35
22_WNV_B_S2	46.63
22_WNV_C_S3	36.87
22_mock_A_S4	71.51
22_mock_B_S5	41.03
22_mock_C_S6	14.34
26_WNV_A_S7	15.43
26_WNV_B_S8	13.42
26_WNV_C_S9	17.6
26_mock_A_S10	44.74
26_mock_B_S11	41.41
26_mock_C_S12	17.28
30_WNV_A_S13	62.45
30_WNV_B_S14	54.35
30_WNV_C_S15	57.49
30_mock_A_S16	46.7
30_mock_B_S17	70.13
30_mock_C_S18	68.07
