T22_mock vs T22_WNV	T22_mock vs T26_mock	T22_mock vs T26_WNV	T22_mock vs T30_mock	T22_mock vs T30_WNV	T22_WNV vs T26_mock	T22_WNV vs T26_WNV	T22_WNV vs T30_mock	T22_WNV vs T30_WNV	T26_mock vs T26_WNV	T26_mock vs T30_mock	T26_mock vs T30_WNV	T26_WNV vs T30_mock	T26_WNV vs T30_WNV	T30_mock vs T30_WNV
gene10027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10028	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10029	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene1003	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10033	NA	0.7688962	0.1073672	0.6870483	0.5991989	0.737953	0.7741661	0.7101328	NA	1	1	NA	0.1992067	0.4486059	1
gene10034	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10036	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10037	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10038	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10039	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10040	NA	0.9759428	NA	NA	NA	0.9034793	NA	NA	NA	1	0.9519916	NA	NA	NA	1
gene10041	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10042	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10043	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.8876606	NA	NA	NA	1
gene10044	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10047	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10049	NA	0.7514956	0.7179983	0.987862	0.9141394	0.9839883	0.9695831	0.8220568	NA	1	0.7081783	NA	0.6107686	0.5674153	1
gene1005	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.9391818	NA	NA	NA	1
gene10050	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10053	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10054	NA	0.8524934	0.6356294	0.3431967	0.8580253	0.7685727	0.5225188	0.6648746	NA	1	0.1279179	NA	0.024447	0.4293732	1
gene10055	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10056	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10057	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10058	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10059	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene1006	NA	0.9669048	0.7139968	0.8867311	0.9608468	0.9845581	0.8407784	NA	NA	1	0.9311592	NA	0.8041886	0.7853209	1
gene10060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10064	NA	0.954787	0.7413166	0.5405549	0.3450518	0.8823656	0.892495	0.7988222	NA	1	0.4384344	NA	0.9498329	0.8428663	1
gene10065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10066	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10067	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10068	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1007	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10071	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10072	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10073	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10074	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1008	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.7431683	NA	NA	NA	1
gene10080	NA	0.9079468	0.9019774	0.7958503	NA	0.8490209	NA	NA	NA	1	0.9468521	NA	NA	NA	1
gene10081	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10082	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10084	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10085	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10086	NA	0.8124459	NA	NA	NA	0.7530192	NA	NA	NA	1	0.8293791	NA	NA	NA	1
gene10087	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10089	NA	0.9009951	NA	NA	NA	0.6926118	NA	NA	NA	1	0.6534861	NA	NA	NA	1
gene1009	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
