T22_mock vs T22_WNV	T22_mock vs T26_mock	T22_mock vs T26_WNV	T22_mock vs T30_mock	T22_mock vs T30_WNV	T22_WNV vs T26_mock	T22_WNV vs T26_WNV	T22_WNV vs T30_mock	T22_WNV vs T30_WNV	T26_mock vs T26_WNV	T26_mock vs T30_mock	T26_mock vs T30_WNV	T26_WNV vs T30_mock	T26_WNV vs T30_WNV	T30_mock vs T30_WNV
gene10963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.99030568600639	NA	NA
gene10984	NA	NA	NA	2.14052139189514	NA	NA	NA	2.61043140590537	NA	NA	NA	NA	NA	NA	NA
gene10992	NA	-2.16496687145011	-2.08420028647945	-1.62625772159899	-1.8451303661475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10996	NA	NA	NA	NA	NA	NA	NA	-2.23684727780848	NA	NA	-2.69754447908786	NA	-5.18397633617314	-4.5287927871968	NA
gene11009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.98807021585331	-2.82171619217277	NA	NA	NA
gene11026	NA	NA	NA	-2.29548213676038	NA	NA	NA	-3.53211781957893	NA	NA	-2.54312063450125	NA	NA	NA	NA
gene11043	NA	NA	NA	-4.26094252720927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene11079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.37931197193478	NA	NA	NA	NA
gene11087	NA	NA	NA	3.39305548660255	NA	NA	-4.19243026738801	NA	NA	NA	NA	NA	4.4267899999101	NA	NA
gene11100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.28579392672937	NA	NA
gene11121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.67046120054716	NA	NA	NA	NA
gene11142	NA	NA	NA	NA	NA	NA	NA	3.52994204641268	NA	NA	NA	NA	NA	NA	NA
gene11164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.30915296680699	NA	NA
gene11240	3.77434557898256	NA	NA	4.45666821819968	2.41537484419798	-2.80915842977622	-2.56493746814014	NA	NA	NA	3.49148106899334	NA	3.24726010735726	NA	NA
