T22_mock vs T22_WNV	T22_mock vs T26_mock	T22_mock vs T26_WNV	T22_mock vs T30_mock	T22_mock vs T30_WNV	T22_WNV vs T26_mock	T22_WNV vs T26_WNV	T22_WNV vs T30_mock	T22_WNV vs T30_WNV	T26_mock vs T26_WNV	T26_mock vs T30_mock	T26_mock vs T30_WNV	T26_WNV vs T30_mock	T26_WNV vs T30_WNV	T30_mock vs T30_WNV
gene10132	0.504751335677584	0.216053844795179	0.197667206392821	0.612196142486466	0.981355815218002	0.00897747787648366	0.0159840481547357	0.0864445852644372	NA	1	0.472496677950526	0.068303538580583	0.411094982722723	0.238242851983082	1
gene10137	0.986265546563304	0.7074636448416	0.345091199825422	0.447903985538351	0.978951022370652	0.733342944265624	0.347734474663075	0.601946166370806	0.941997276530779	1	0.0721801938264344	0.627533274973462	0.00539160767735662	0.392217160514042	1
gene10162	NA	0.420309968818645	0.248335628510569	0.843323067558481	0.864726651804139	0.041683556766783	0.031712745782367	0.740335888470594	NA	1	0.0966620896549452	NA	0.0332300207140167	0.36890660118875	1
gene10172	0.988851161436772	0.324300377515807	0.48961731228212	0.773057841881244	0.98101032053464	0.293405126366927	0.585160732603777	0.858043526884351	0.99074613000879	0.152882708211694	0.0311157910009081	0.0979414247696931	0.703530730553612	0.550454128093215	1
gene10202	NA	0.610454624373231	0.942526587547372	0.94138134395655	0.476484380214115	0.0950447625669462	0.430878807446876	0.330362264712611	NA	1	0.623494937034411	NA	0.996941587829849	0.672872567478616	1
gene10227	0.614874822106736	0.727534578116116	0.587605885629516	0.785043227272611	0.598924492473037	0.266102993037819	0.988098950397133	0.915429032706293	0.9889094442712	1	0.295907897245593	0.0909287096573297	0.810064755995092	0.989150810453951	1
gene10250	0.638473306852958	0.409257755600587	0.903872777307704	0.785928584891986	0.837034112608277	0.876362021448328	0.850942919832848	0.300603364944357	0.384378099090689	1	0.059857270509138	0.062548889954835	0.539453463896937	0.698252633480175	1
gene10260	0.842249949702463	0.409257755600587	0.00550114271420483	0.715606007999137	0.69354442455836	0.724982622135891	0.0461625671659937	0.980878870212531	0.926187731859975	1	0.707146429069518	0.703922307506593	0.0144125559443658	0.078984845542584	1
gene103	0.654662545776384	0.852887883894826	0.510309504576738	0.0231968284301666	0.17581739368958	0.472352482979179	0.15322937091825	0.00178427617680445	0.0497865195492876	1	0.124998235482702	0.334329749432406	0.452385951858497	0.854502236948815	1
gene10305	0.0577218415216468	0.645730414918701	0.27626536453521	0.0119484712978612	0.00044164334192916	0.503360839804499	0.850942919832848	0.988355875026479	0.639218530589516	1	0.27393688181251	0.0275357882325049	0.671655412240325	0.372632924565795	1
gene10345	NA	0.896317169401295	0.786948309618569	0.061450998090521	0.779512975804756	0.26404465511272	0.159573774566186	0.840203119304557	NA	1	0.0172427998392092	NA	0.00568872964141126	0.498597175100276	1
gene10405	0.986265546563304	0.90793844076521	0.888234478689686	0.0122146455884206	0.359222898688795	0.908777830284207	0.898023912808978	0.0436115901993791	0.468668843596936	1	0.0032426505507769	0.102712808692462	0.00327062743150687	0.273035281786606	1
gene10420	0.7875507249776	0.462196368052138	0.605756936794745	0.267442979986016	0.85505808551724	0.824494210784955	0.906657035699969	0.102973639497357	0.57241035484483	1	0.00482004122430859	0.0979414247696931	0.0151095337284807	0.397060549575995	1
gene10425	NA	0.277787905154527	0.380503025377068	0.0231968284301666	NA	0.884840250232293	NA	NA	NA	1	0.79754148024492	NA	NA	NA	1
gene10475	NA	0.55329048072121	0.495883369702195	0.070732752544493	0.0277080633459319	0.967942380771815	0.982064346647746	0.821167934739884	NA	1	0.654138589759232	NA	0.648938499891999	0.549810156031127	1
gene10476	NA	0.782469738514561	0.726203912670208	0.133365314848412	0.0745725278973626	0.776561692548516	0.822838733000816	0.960517064573888	NA	1	0.513784861481636	NA	0.535134676699718	0.486904035048696	1
gene1054	0.00232635403187063	0.184781364216073	0.361694704854004	0.0057381152048995	0.000477889462268733	0.615358929860892	0.29683339105247	0.80002161484336	NA	1	0.836965136301442	0.42571704904942	0.439213835938398	0.294262060398215	1
