"","22_mock_A_S4HSCounts.txt","22_mock_B_S5HSCounts.txt","22_mock_C_S6HSCounts.txt","22_WNV_B_S2HSCounts.txt","22_WNV_C_S3HSCounts.txt","26_mock_A_S10HSCounts.txt","26_mock_B_S11HSCounts.txt","26_mock_C_S12HSCounts.txt","26_WNV_A_S7HSCounts.txt","26_WNV_B_S8HSCounts.txt","26_WNV_C_S9HSCounts.txt","30_mock_A_S16HSCounts.txt","30_mock_B_S17HSCounts.txt","30_mock_C_S18HSCounts.txt","30_WNV_A_S13HSCounts.txt","30_WNV_B_S14HSCounts.txt","30_WNV_C_S15HSCounts.txt"
"gene8970",3,9,0,1,5,8,18,0,1,12,0,0,31,17,0,0,0
"gene8971",4,2,0,0,0,0,7,7,5,17,0,0,57,31,4,6,18
"gene8972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8973",0,6,15,0,0,0,0,0,0,0,0,0,5,30,7,0,0
"gene8974",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"gene8975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"gene8977",0,0,0,0,7,2,0,0,1,0,0,0,0,5,16,0,5
"gene8978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene898",48,49,5,220,199,34,21,8,13,4,13,72,88,143,129,38,129
"gene8980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8984",0,0,0,0,6,0,8,0,1,0,0,0,0,1,4,0,0
"gene8985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8986",0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0
"gene8987",1,2,2,0,0,10,8,6,7,0,0,11,0,32,42,7,14
"gene8988",2,0,0,0,2,3,0,0,0,0,0,0,0,0,6,0,0
"gene8989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene899",28,7,7,72,79,1,0,0,6,16,1,9,8,59,29,3,8
"gene8990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8993",47,108,21,97,79,42,14,6,16,7,0,120,39,176,138,35,72
"gene8994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8995",17,29,10,42,52,9,18,1,13,0,8,83,27,121,80,24,118
"gene8996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8997",7,0,0,24,0,4,0,0,2,0,0,8,21,14,2,3,6
"gene8998",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8999",12,9,0,23,8,4,4,0,8,8,11,0,18,8,15,6,2
"gene9",10,4,0,22,27,8,0,0,7,7,7,14,14,30,29,27,37
"gene90",48,26,12,128,118,60,24,0,17,22,25,14,100,82,125,52,76
"gene900",0,8,9,2,9,18,8,12,8,0,3,0,20,5,10,3,0
"gene9000",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"gene9001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9002",12,23,3,25,12,19,8,5,11,4,2,14,2,21,27,4,7
"gene9003",12,7,0,4,3,0,0,0,0,0,6,0,0,1,2,0,0
"gene9004",0,1,0,0,0,5,0,0,0,0,0,6,24,12,12,5,18
"gene9005",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"gene9006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9007",0,4,0,0,5,3,4,4,4,0,2,0,0,0,1,2,1
"gene9008",11,9,0,4,3,11,4,0,11,0,3,3,6,3,0,17,0
"gene9009",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"gene901",2,0,0,7,0,9,6,0,10,0,3,0,0,13,3,1,0
"gene9010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9011",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"gene9012",10,10,0,6,18,11,0,0,5,0,0,11,36,35,13,0,7
