X22_mock_A	X22_mock_B	X22_mock_C	X22_WNV_A	X22_WNV_B	X22_WNV_C	X26_mock_A	X26_mock_B	X26_mock_C	X26_WNV_A	X26_WNV_B	X26_WNV_C	X30_mock_A	X30_mock_B	X30_mock_C	X30_WNV_A	X30_WNV_B	X30_WNV_C
gene12912	13	0	0	12	10	9	12	0	5	7	0	0	6	2	4	10	0	0
gene12913	0	5	0	1	1	7	1	2	0	3	1	0	2	1	16	10	2	13
gene12914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
gene12916	2	0	0	1	3	0	0	0	0	0	0	0	0	1	4	13	0	4
gene12917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
gene12918	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12919	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0
gene1292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12920	2	1	0	0	0	4	3	0	0	0	0	0	0	0	4	1	0	0
gene12921	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	6	0	0
gene12922	5	2	0	1	2	0	6	0	0	0	0	0	0	0	0	0	0	0
gene12923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12924	2	3	0	2	1	0	2	0	0	2	0	0	0	7	4	10	0	1
gene12925	0	0	0	8	3	3	4	0	0	13	0	0	0	0	11	4	0	3
gene12926	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene12927	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	1
gene12929	15	19	0	20	16	11	11	2	6	12	0	4	15	22	24	12	14	4
gene1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
gene12930	16	10	10	38	57	43	12	15	1	11	0	1	17	5	52	24	2	10
gene12931	7	11	0	18	39	14	5	1	13	3	0	1	17	6	57	12	1	11
gene12932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12933	1	0	0	0	3	2	0	0	0	4	0	0	0	9	1	0	0	1
gene12934	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12935	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
gene12937	3	2	0	0	1	0	2	0	2	2	0	0	0	7	1	0	6	0
gene12938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
gene12939	1	3	0	7	5	3	30	17	0	8	0	5	0	5	1	2	0	0
gene1294	413	265	44	495	654	411	489	138	15	254	18	115	133	306	828	687	198	260
gene12940	4	21	0	8	2	5	27	24	3	25	0	1	5	11	3	4	3	1
gene12941	0	0	0	0	0	0	5	5	0	1	0	0	0	6	3	3	0	4
gene12942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12944	1	19	3	21	13	17	7	0	0	0	0	0	0	0	15	1	2	2
gene12945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12946	31	52	0	29	50	15	53	18	0	22	0	10	41	29	99	51	21	50
gene12947	0	1	0	4	1	2	5	5	0	1	0	0	1	0	0	3	0	2
gene12948	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1295	22	11	3	36	16	23	31	3	4	13	5	8	10	35	54	39	7	24
gene12950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12951	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12952	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12955	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gene12956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12957	0	0	0	5	0	0	3	0	0	1	0	0	0	2	2	2	0	0
gene12958	48	15	3	85	63	52	77	40	6	43	5	29	13	75	147	97	28	120
gene12959	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1
gene1296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12962	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12963	5	6	0	12	10	5	4	10	1	7	0	1	29	4	58	24	4	12
gene12964	11	12	3	39	24	29	21	3	0	11	4	1	12	4	14	16	2	14
gene12965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12967	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene12968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12969	1	2	1	2	5	0	18	0	0	6	0	2	7	0	9	5	1	4
gene1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12970	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene12971	27	10	0	34	66	30	17	34	8	14	1	7	162	69	297	60	31	85
gene12972	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12973	69	42	1	18	48	25	26	11	2	6	0	3	8	8	53	3	3	11
gene12974	15	38	10	25	26	16	73	18	1	45	6	8	12	3	17	56	11	22
gene12975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12976	5	0	2	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0
gene12977	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12978	4	0	0	0	6	3	0	2	0	3	0	0	0	0	0	7	0	0
gene12979	4	0	0	0	5	0	4	0	0	0	0	0	0	0	1	0	0	1
gene1298	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12980	0	0	0	0	3	0	0	0	0	5	0	0	0	0	2	1	0	0
gene12981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12982	89	116	13	64	226	51	73	54	9	14	5	27	55	63	136	65	43	84
gene12983	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
gene12984	0	1	0	2	0	0	0	0	0	1	0	0	5	0	4	0	0	0
gene12985	12	5	0	24	4	5	19	15	2	1	0	3	3	8	28	13	2	8
gene12986	65	30	4	69	51	42	45	1	0	23	2	6	25	45	103	63	10	29
gene12987	0	1	0	2	0	1	0	0	4	0	0	0	0	3	2	4	0	5
gene12988	0	3	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0
gene12989	3	0	1	2	0	3	0	1	3	0	1	0	9	1	7	10	0	8
gene1299	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12990	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	6
gene12991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12993	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12994	1	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	2
gene12995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13	1	10	1	0	3	2	6	0	0	7	0	1	3	0	5	0	5	1
gene130	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gene1300	28	21	0	20	37	13	10	1	0	2	0	0	8	14	17	16	3	6
gene13000	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene13001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
gene13002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13003	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
gene13004	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene13005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
gene13007	0	1	0	6	1	0	1	0	0	5	0	3	0	3	7	6	0	0
gene13008	0	6	2	5	11	6	1	2	0	2	0	0	3	2	24	4	9	0
gene13009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1301	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
gene13010	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1
gene13011	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1
gene13012	0	1	0	5	0	5	6	0	0	0	0	0	0	0	7	0	0	1
gene13013	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0
gene13014	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
gene13015	1	1	0	2	3	2	2	0	0	0	0	0	1	2	3	4	1	5
gene13016	0	2	0	8	3	5	1	0	0	0	0	0	0	2	0	3	2	0
gene13017	1	4	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0
gene13018	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0
gene13019	0	5	0	0	2	3	2	0	0	0	0	2	0	2	3	2	0	0
gene1302	0	0	0	5	6	1	0	0	0	0	2	0	0	0	0	2	0	0
gene13020	0	12	0	1	1	0	11	0	0	5	0	0	3	3	0	0	0	0
gene13021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13026	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gene13027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
gene13029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1303	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	3	0
gene13030	0	0	0	0	8	0	0	0	0	0	0	1	9	0	0	0	0	0
gene13031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
gene13035	0	0	1	14	13	10	10	0	0	0	0	0	12	6	13	4	3	11
gene13036	0	1	0	22	3	15	2	0	0	0	1	0	7	12	9	1	1	9
gene13037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1304	0	1	0	6	1	1	0	3	0	0	0	1	0	2	1	7	0	1
gene13040	0	6	0	3	0	0	5	7	0	1	0	0	0	0	0	0	1	1
gene13041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13043	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13044	13	23	0	13	6	21	8	3	0	2	0	0	10	6	19	17	9	3
gene13045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13047	2	17	10	11	0	0	34	8	0	15	0	3	0	1	0	1	6	2
gene13048	8	0	0	3	2	2	2	0	0	0	0	1	0	0	0	5	0	2
gene13049	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1305	18	25	7	20	20	20	22	4	0	13	1	1	26	9	78	29	15	46
gene13050	2	0	0	0	6	0	3	1	0	0	0	2	0	0	11	5	0	0
gene13051	1	0	0	3	6	6	0	0	0	5	0	0	0	0	3	5	0	4
gene13052	5	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
gene13053	7	13	0	2	4	1	4	0	0	3	1	0	0	0	10	1	2	0
gene13054	2	1	0	3	16	9	4	6	0	5	0	0	0	0	4	1	9	4
gene13055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13058	53	56	11	56	68	47	113	25	2	38	0	22	14	35	86	44	23	22
gene13059	7	3	0	10	6	6	12	1	0	10	0	1	56	4	127	48	12	21
gene1306	19	45	1	65	15	22	57	10	0	8	0	2	4	12	11	33	9	20
gene13060	0	4	0	5	4	5	1	0	0	2	0	2	0	0	0	1	0	0
gene13061	1	0	0	13	2	1	4	0	0	6	0	0	2	1	8	1	0	1
gene13062	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
gene13063	0	0	0	1	0	0	0	1	1	0	3	0	1	0	1	0	0	2
gene13064	0	1	0	0	0	1	1	0	1	0	0	0	0	12	6	0	1	2
gene13065	23	20	0	30	20	15	28	4	1	8	0	4	11	4	45	12	11	10
gene13066	3	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0
gene13067	1	3	0	6	2	3	13	0	0	2	0	5	1	0	10	2	1	2
gene13068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
gene13070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
gene13071	0	0	0	0	0	1	0	0	0	0	1	0	0	2	2	0	0	0
gene13072	2	9	0	0	2	4	3	0	0	3	0	0	2	16	10	0	1	2
gene13073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13076	1	3	0	5	3	4	11	0	0	8	0	1	0	4	12	4	3	2
gene13077	3	0	0	2	3	0	1	1	0	0	0	0	4	16	13	3	0	2
gene13078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13079	9	29	2	1	1	6	21	0	0	0	0	0	0	0	2	10	1	4
gene1308	6	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
gene13080	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	6	2
gene13081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13083	2	9	0	9	6	8	11	2	0	6	0	0	0	6	9	16	6	8
gene13084	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
gene13085	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gene13086	4	5	0	5	11	15	1	15	0	7	0	0	4	2	7	3	1	0
gene13087	1	1	0	12	3	1	0	0	0	1	0	1	8	2	2	0	0	0
gene13088	0	3	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0
gene13089	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
gene1309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3
gene13090	0	0	0	0	0	0	0	3	0	1	9	0	0	3	6	2	0	2
gene13091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13092	0	0	0	0	0	0	0	1	3	1	4	0	0	0	5	0	0	0
gene13093	1	4	0	2	2	1	0	0	0	1	0	1	0	2	6	5	6	0
gene13094	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gene13095	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	1	1	0
gene13096	0	0	0	8	2	1	3	0	0	0	0	0	0	0	0	2	1	1
gene13097	2	0	0	3	3	4	4	0	0	2	0	0	4	0	3	0	0	0
gene13098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13099	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0
gene131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1310	1	0	2	4	0	0	1	5	0	0	0	0	0	0	0	0	0	0
gene13100	0	2	0	1	3	0	2	0	0	1	0	0	0	0	5	4	0	0
gene13101	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
gene13102	15	10	1	33	48	34	7	2	0	9	0	4	0	2	21	24	3	16
gene13103	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
gene13104	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	2	0	0
gene13105	0	0	0	1	2	1	1	0	0	1	0	0	0	0	0	0	0	3
gene13106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13107	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13108	0	2	0	8	0	0	1	2	0	0	0	0	0	0	0	0	0	0
gene13109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1311	0	0	0	0	0	0	4	0	0	1	0	0	0	4	0	0	0	0
gene13110	3	8	1	7	12	20	19	5	0	7	6	7	1	4	16	16	7	10
gene13111	0	0	3	3	11	3	2	0	0	1	0	0	0	0	14	1	0	0
gene13112	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
gene13113	9	2	0	5	1	1	9	3	0	7	0	1	6	4	28	16	2	6
gene13114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13116	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
gene13117	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13118	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0
gene13119	10	11	1	50	17	11	16	12	0	5	0	2	2	3	5	24	3	9
gene1312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13120	10	0	0	8	4	5	6	0	0	0	0	0	2	1	7	0	3	7
gene13121	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
gene13122	0	3	1	3	0	1	5	2	0	3	0	5	0	0	5	0	0	2
gene13123	9	24	0	24	18	8	21	2	5	20	3	8	1	16	41	64	3	22
gene13124	0	0	0	1	6	1	2	1	0	3	0	0	0	0	2	1	0	4
gene13125	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
gene13127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13128	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene13129	15	24	0	13	35	35	38	21	3	15	0	5	6	16	31	42	23	24
gene1313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13131	20	34	3	18	15	20	52	9	0	15	0	8	24	23	49	25	3	22
gene13132	9	3	0	14	17	7	9	7	0	9	0	1	3	34	39	20	3	5
gene13133	14	16	3	43	13	2	11	18	1	14	0	5	152	34	146	89	33	111
gene13134	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gene13135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
gene13138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13139	8	19	0	6	2	9	9	0	4	4	0	1	8	2	18	14	14	9
gene1314	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13141	2	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0
gene13142	15	14	3	10	3	4	22	3	3	17	3	5	27	4	32	61	7	19
gene13143	2	0	1	1	2	7	0	0	0	0	0	2	0	0	2	7	0	0
gene13144	0	1	0	1	12	10	2	9	0	2	0	1	2	1	7	6	1	5
gene13145	12	5	0	9	9	7	4	3	0	1	0	1	0	3	13	12	1	3
gene13146	22	26	8	11	29	22	35	12	2	12	1	1	18	21	40	35	38	21
gene13147	7	0	0	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0
gene13148	172	133	21	149	255	153	163	52	18	55	12	15	79	58	281	124	78	110
gene13149	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1
gene1315	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene13150	13	8	0	11	3	4	11	7	0	16	0	2	7	0	17	11	8	12
gene13151	16	26	0	34	22	29	11	1	0	10	1	9	87	16	188	42	21	29
gene13152	5	4	1	9	16	7	5	1	2	4	0	5	7	8	8	15	2	3
gene13153	19	11	0	10	11	6	1	2	5	1	0	0	19	2	44	9	1	11
gene13154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13155	15	15	2	29	25	15	14	4	1	6	3	1	58	5	86	23	5	20
gene13156	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
gene13157	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0
gene13158	3	9	5	7	3	1	4	11	5	4	0	0	12	2	8	11	6	5
gene13159	0	3	0	6	0	1	0	2	0	0	0	0	0	0	0	0	0	0
gene1316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13162	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0
gene13163	52	59	4	41	13	9	74	2	0	51	0	6	6	18	42	37	5	15
gene13164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13166	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
gene13167	0	47	3	0	1	0	161	6	0	23	0	0	10	0	0	0	0	0
gene13168	6	2	0	1	3	4	3	0	0	1	0	0	3	0	19	7	2	4
gene13169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1317	3	1	1	3	4	3	4	0	0	0	0	2	0	4	5	1	1	5
gene13170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13172	0	0	0	5	0	0	0	0	0	0	0	0	1	0	2	7	0	1
gene13173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gene13177	0	0	0	4	1	1	0	0	0	0	0	0	2	4	2	0	0	3
gene13178	4	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1
gene13179	0	0	0	0	0	1	0	1	0	1	0	0	0	5	8	0	0	3
gene1318	562	395	46	637	729	529	683	199	45	317	40	155	207	322	1117	791	314	472
gene13180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13183	0	1	0	0	1	0	3	1	0	0	0	1	0	0	2	0	0	0
gene13184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
gene13186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13188	0	1	0	0	2	0	0	0	0	2	1	0	0	1	0	0	0	1
gene13189	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gene1319	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gene13190	0	15	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
gene13191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
gene13193	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1
gene13194	1	0	0	2	6	3	0	3	3	1	0	0	2	0	6	1	0	1
gene13195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13197	2	7	0	4	10	4	1	0	0	1	1	0	8	12	39	24	6	1
gene13198	0	3	0	0	0	0	2	0	0	0	0	2	0	5	1	0	2	1
gene13199	0	2	0	0	0	1	0	5	1	3	0	0	0	4	11	5	0	8
gene132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1320	3	6	0	0	3	2	8	2	0	0	0	0	0	0	2	0	0	7
gene13200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13201	76	69	13	62	71	55	55	13	10	36	1	5	119	19	186	140	51	71
gene13202	5	0	0	6	3	5	3	2	0	3	0	3	5	0	0	3	0	0
gene13203	0	0	0	1	1	0	0	0	0	2	0	0	0	0	4	1	1	0
gene13204	10	14	1	20	8	1	5	0	0	7	0	1	21	9	25	51	11	8
gene13205	4	0	0	3	2	3	11	4	0	4	0	1	4	5	12	6	0	2
gene13206	0	0	2	2	1	1	4	9	0	2	0	0	4	0	2	0	0	0
gene13207	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2
gene13208	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13209	27	10	4	51	25	30	36	8	0	7	0	3	11	28	36	36	33	3
gene1321	0	1	1	2	1	2	4	0	0	1	0	0	0	2	1	0	0	1
gene13210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13211	4	4	0	2	1	0	6	0	0	0	0	0	0	1	0	2	0	3
gene13212	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
gene13213	6	3	4	8	7	2	15	9	0	3	0	1	4	1	20	5	2	9
gene13214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
